id,contactId,contactEmail,contactName,amount,createdAt
9b4bb79c-097f-41f2-ac17-ba3fd8996414,c0635132-048a-491a-8d98-b8e59e2f5bc5,optest@mail.com,Op Test,10,2026-01-16T22:38:40.332Z
18516721-890f-47e2-9cc0-553f09d38488,ee51c123-a457-4bf0-8a19-23b1c0f2a06b,optest2@mail.com,Op Test 2,10,2026-01-16T22:53:14.331Z
25b3244b-2ae3-446a-8e98-0cd06251f32b,ee51c123-a457-4bf0-8a19-23b1c0f2a06b,optest2@mail.com,Op Test 2,10,2026-01-16T22:56:28.398Z
02fd4b7e-63d5-4221-a487-f65281e26197,ee51c123-a457-4bf0-8a19-23b1c0f2a06b,optest2@mail.com,Op Test 2,-5,2026-01-16T22:57:06.968Z
365bcde9-f581-4044-a45b-dc347dd38b1e,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,10,2026-01-16T23:00:11.665Z
6abb886d-c094-4159-a175-b0686e829fa8,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,-5,2026-01-16T23:00:21.964Z
3560931d-5b2e-48d1-92c2-fe7baa66b43f,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,10,2026-01-19T18:09:18.026Z
02ad9b6b-c552-41b0-9da8-84a76f4d3133,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,-5,2026-01-19T18:09:26.597Z
d278c4f0-0103-4fff-a60c-c7a0779b893b,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,10,2026-01-19T18:11:34.225Z
fc4a4a21-4bae-4a91-be57-fa2779628119,87b973f5-0064-4c75-84ab-c64be5cdb881,resta_test_1@mail.com,Resta Test,-5,2026-01-19T18:11:39.780Z
60480cdd-204a-4f21-9083-c2d3a50e1492,08f09c6c-f283-428b-9829-a503bc5a2fb3,csvtest2@mail.com,CSV Test 2,10,2026-01-19T18:50:01.488Z
f6f3aeb0-9393-400c-a582-60fe5b40ae21,08f09c6c-f283-428b-9829-a503bc5a2fb3,csvtest2@mail.com,CSV Test 2,-5,2026-01-19T18:50:11.512Z
